microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Faecalibacterium prausnitzii,infectious colitis,decrease,19235886,Lower counts in infectious colitis patients compared to healthy subjects,"TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects",1
Clostridium leptum,Crohn's disease,decrease,19235886; 23351032,Less represented in active inflammatory bowel disease patients compared to healthy subjects || Numbers and diversity were significantly reduced in CD compared to healthy controls,"TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects || Reduction in Clostridium leptum and Faecalibacterium prausnitzii could contribute to reduced short chain fatty acid production in IBD, which influences intestinal epithelial function and anti-inflammatory effects",2
Clostridium coccoides,Crohn's disease,decrease,19235886,Less represented in active inflammatory bowel disease patients compared to healthy subjects,"TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects",1
Bifidobacteria,Crohn's disease,decrease,19235886,Less represented in active inflammatory bowel disease patients compared to healthy subjects,"TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects",1
Bifidobacteria,infectious colitis,decrease,19235886,Less represented in infectious colitis patients compared to healthy subjects,"TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects",1
adherent-invasive Escherichia coli,Crohns disease,increase,19235912,"Greater AIEC prevalence, abundance, and richness of E. coli strains belonging to the AIEC pathovar was observed for CD patients",,1
Gammaproteobacteria,necrotizing enterocolitis,increase,19369970,Patients with NEC had an increase in abundance of Gammaproteobacteria,,1
Bifidobacterium catenulatum,irritable bowel syndrome,decrease,19533811,Lower levels in both fecal and duodenal brush samples of IBS patients compared to healthy subjects,,1
Bifidobacteria,irritable bowel syndrome,decrease,19533811,2-fold decrease in fecal samples of IBS patients compared to healthy subjects,,1
Firmicutes,age-related microbiota changes,decrease,19703328,Lower numbers of Firmicutes were observed in the elderly compared to young adults,,1
Bacteroidetes,age-related microbiota changes,increase,19703328,Increase in numbers of Bacteroidetes was monitored in the elderly,,1
Clostridium cluster XIVa,age-related microbiota changes,decrease,19703328,"Reductions in the proportion of known butyrate producers belonging to Clostridium cluster XIVa, such as Roseburia and Ruminococcus, were demonstrated in the elderly",,1
Collinsella spp,age-related microbiota changes,decrease,19703328,Lower numbers of Collinsella spp. were evident in the elderly subjects with NSAID compared both with young adults and the elderly without NSAID,,1
Lactobacillus,age-related microbiota changes,increase,19703328,Relatively high numbers of Lactobacillus appeared only in the elderly subjects without NSAID,,1
Faecalibacterium prausnitzii,obesity,increase,19849869,Levels of Faecalibacterium prausnitzii were significantly higher in obese children than in non-obese participants,,1
Bacteroides vulgatus,Type II Diabetes,decrease,20087741,Low representation in the microbiota of diabetic group compared to healthy individuals,"Gut microbiota alterations in type 2 diabetes are associated with low-grade inflammatory states, involving mechanisms dependent on LPS and/or fatty acids activation of the CD14/TLR4 receptor complex",1
Bifidobacterium genus,Type II Diabetes,decrease,20087741,Significant decrease observed by real-time PCR in diabetic group,"Gut microbiota alterations in type 2 diabetes are associated with low-grade inflammatory states, involving mechanisms dependent on LPS and/or fatty acids activation of the CD14/TLR4 receptor complex",1
Clostridium leptum subgroup,Type II Diabetes,decrease,20087741,Lower counts in diabetic patients compared to healthy individuals,"Gut microbiota alterations in type 2 diabetes are associated with low-grade inflammatory states, involving mechanisms dependent on LPS and/or fatty acids activation of the CD14/TLR4 receptor complex",1
Firmicutes,Type 2 diabetes,decrease,20140211,Proportions of phylum Firmicutes and class Clostridia were significantly reduced in the diabetic group compared to the control group,Both obesity and diabetes are characterized by a state of chronic low-grade inflammation with abnormal expression and production of multiple inflammatory mediators such as tumor necrosis factor and interleukins,1
Bacteroidetes,Type 2 diabetes,increase,20140211,Ratios of Bacteroidetes to Firmicutes correlated positively and significantly with plasma glucose concentration,Both obesity and diabetes are characterized by a state of chronic low-grade inflammation with abnormal expression and production of multiple inflammatory mediators such as tumor necrosis factor and interleukins,1
Betaproteobacteria,Type 2 diabetes,increase,20140211,Class Betaproteobacteria was highly enriched in diabetic compared to non-diabetic persons and positively correlated with plasma glucose,Both obesity and diabetes are characterized by a state of chronic low-grade inflammation with abnormal expression and production of multiple inflammatory mediators such as tumor necrosis factor and interleukins,1
Bifidobacterium,Type 2 diabetes,decrease,20140211,Levels of Bifidobacterium significantly and positively correlated with improved glucose-tolerance and low-grade inflammation,Both obesity and diabetes are characterized by a state of chronic low-grade inflammation with abnormal expression and production of multiple inflammatory mediators such as tumor necrosis factor and interleukins,1
Bacteroides,Type 1 diabetes,increase,20140211; 26068542; 29733871,Development of diabetes type 1 in rats was reported to be associated with higher amounts of Bacteroides ssp. || Increased abundance of Bacteroides in children with 2 or more islet autoantibodies and in subjects with T1D || Abundances of Bacteroides were positively correlated with the presence of autoantibodies,Both obesity and diabetes are characterized by a state of chronic low-grade inflammation with abnormal expression and production of multiple inflammatory mediators such as tumor necrosis factor and interleukins,3
Bifidobacterium,Coeliac disease,decrease,20181275,Less abundant in untreated CD patients than in healthy controls,"In CD patients, gliadin peptides activate a Th1 pro-inflammatory response dominated by IFN-γ and an innate immune response mediated by IL-15, leading to epithelial cell killing. Additionally, gliadin activates the zonulin pathway, increasing intestinal permeability.",1
Clostridium histolyticum,Coeliac disease,decrease,20181275,Less abundant in untreated CD patients than in healthy controls,"In CD patients, gliadin peptides activate a Th1 pro-inflammatory response dominated by IFN-γ and an innate immune response mediated by IL-15, leading to epithelial cell killing. Additionally, gliadin activates the zonulin pathway, increasing intestinal permeability.",1
Clostridium lituseburense,Coeliac disease,decrease,20181275,Less abundant in untreated CD patients than in healthy controls,"In CD patients, gliadin peptides activate a Th1 pro-inflammatory response dominated by IFN-γ and an innate immune response mediated by IL-15, leading to epithelial cell killing. Additionally, gliadin activates the zonulin pathway, increasing intestinal permeability.",1
Faecalibacterium prausnitzii,Coeliac disease,decrease,20181275,Less abundant in untreated CD patients than in healthy controls,"In CD patients, gliadin peptides activate a Th1 pro-inflammatory response dominated by IFN-γ and an innate immune response mediated by IL-15, leading to epithelial cell killing. Additionally, gliadin activates the zonulin pathway, increasing intestinal permeability.",1
Bacteroides-Prevotella,Coeliac disease,increase,20181275,More abundant in untreated CD patients than in healthy controls,"In CD patients, gliadin peptides activate a Th1 pro-inflammatory response dominated by IFN-γ and an innate immune response mediated by IL-15, leading to epithelial cell killing. Additionally, gliadin activates the zonulin pathway, increasing intestinal permeability.",1
